time,cell1,cell2,cell3,cell4,total,throttle
Старт
4999,3.843,3.856,7.698,0.000,0.000,30
5499,3.843,3.870,7.713,0.000,0.000,30
5999,3.843,3.870,7.713,0.000,0.000,30
6499,3.843,3.870,7.713,0.000,0.000,30
6999,3.843,3.870,7.713,0.000,0.000,30
7499,3.843,3.870,7.713,0.000,0.000,30
7999,3.843,3.870,7.713,0.000,0.000,30
8499,3.843,3.870,7.713,0.000,0.000,30
8999,3.843,3.870,7.713,0.000,0.000,30
9499,3.843,3.870,7.713,0.000,0.000,30
9999,3.843,3.870,7.713,0.000,0.000,30
10499,3.843,3.870,7.713,0.000,0.000,30
10999,3.843,3.870,7.713,0.000,0.000,30
11499,3.843,3.870,7.713,0.000,0.000,30
11999,3.843,3.870,7.713,0.000,0.000,30
12499,3.843,3.870,7.713,0.000,0.000,30
12999,3.843,3.870,7.713,0.000,0.000,30
13499,3.843,3.870,7.713,0.000,0.000,30
13999,3.843,3.870,7.713,0.000,0.000,30
14499,3.843,3.870,7.713,0.000,0.000,30
14999,3.843,3.870,7.713,0.000,0.000,30
15499,3.843,3.870,7.713,0.000,0.000,30
16000,3.843,3.870,7.713,0.000,0.000,30
16500,3.843,3.870,7.713,0.000,0.000,30
17000,3.843,3.870,7.713,0.000,0.000,30
17500,3.843,3.870,7.713,0.000,0.000,30
18000,3.843,3.870,7.713,0.000,0.000,30
18500,3.843,3.870,7.713,0.000,0.000,30
19000,3.843,3.870,7.713,0.000,0.000,30
19500,3.843,3.870,7.713,0.000,0.000,30
20000,3.843,3.870,7.713,0.000,0.000,30
20500,3.843,3.870,7.713,0.000,0.000,30
21000,3.843,3.870,7.713,0.000,0.000,30
21500,3.843,3.870,7.713,0.000,0.000,30
22000,3.843,3.870,7.713,0.000,0.000,30
22500,3.843,3.870,7.713,0.000,0.000,30
23000,3.843,3.870,7.713,0.000,0.000,30
Старт
4999,3.843,3.870,7.713,0.000,0.000,30
5499,3.833,3.851,7.684,0.000,0.000,30
5999,3.823,3.860,7.684,0.000,0.000,30
6499,3.823,3.875,7.698,0.000,0.000,30
6999,3.833,3.865,7.698,0.000,0.000,30
7499,3.833,3.851,7.684,0.000,0.000,30
7999,3.823,3.846,7.669,0.000,0.000,30
8499,3.823,3.846,7.669,0.000,0.000,30
8999,3.823,3.846,7.669,0.000,0.000,30
9499,3.813,3.870,7.684,0.000,0.000,30
9999,3.813,3.870,7.684,0.000,0.000,30
10499,3.823,3.846,7.669,0.000,0.000,30
10999,3.833,3.851,7.684,0.000,0.000,30
11499,3.823,3.860,7.684,0.000,0.000,30
