time,cell1,cell2,cell3,cell4,total,throttle
14999,4.156,4.191,8.347,0.000,0.000,90
15499,4.137,4.122,8.259,0.000,0.000,90
16000,3.911,3.905,7.816,0.000,0.000,90
16500,3.892,3.984,7.875,0.000,0.000,90
17000,3.882,3.949,7.831,0.000,0.000,90
17500,3.921,3.880,7.802,0.000,0.000,90
18000,3.882,3.949,7.831,0.000,0.000,90
18500,3.872,4.018,7.890,0.000,0.000,90
19000,3.872,3.929,7.802,0.000,0.000,90
19500,3.853,3.993,7.846,0.000,0.000,90
20000,3.902,3.870,7.772,0.025,0.025,90
20500,3.843,3.915,7.757,0.000,0.000,90
21000,3.823,3.949,7.772,0.000,0.000,90
21500,3.823,4.023,7.846,0.000,0.000,90
22000,3.843,3.929,7.772,0.000,0.000,90
22500,3.823,3.905,7.728,0.000,0.000,90
23000,3.823,3.919,7.743,0.000,0.000,90
23500,3.813,3.929,7.743,0.000,0.000,90
24000,3.813,3.929,7.743,0.000,0.000,90
24500,3.813,3.959,7.772,0.000,0.000,90
25000,3.813,3.929,7.743,0.000,0.000,90
25500,3.784,3.900,7.684,0.000,0.000,90
26000,3.784,3.885,7.669,0.000,0.000,90
26500,3.784,3.914,7.698,0.000,0.000,90
27000,3.794,3.905,7.698,0.000,0.000,90
27500,3.813,3.855,7.669,0.000,0.000,90
28000,3.843,3.811,7.654,0.000,0.000,90
28500,3.794,3.846,7.639,0.000,0.000,90
29000,3.774,3.880,7.654,0.000,0.000,90
29500,3.813,3.811,7.625,0.000,0.000,90
30000,3.774,3.850,7.625,0.000,0.000,90
30500,3.754,3.900,7.654,0.000,0.000,90
31000,3.774,3.865,7.639,0.000,0.000,90
31500,3.813,3.826,7.639,0.000,0.000,90
32000,3.823,3.816,7.639,0.000,0.000,90
32500,3.764,3.846,7.610,0.000,0.000,90
33000,3.764,3.904,7.669,0.000,0.000,90
33500,3.784,3.870,7.654,0.000,0.000,90
34000,3.754,3.870,7.625,0.000,0.000,90
34500,3.794,3.846,7.639,0.000,0.000,90
35000,3.803,3.821,7.625,0.000,0.000,90
35500,3.764,3.816,7.580,0.000,0.000,90
36000,3.803,3.821,7.625,0.000,0.000,90
36500,3.764,3.919,7.684,0.000,0.000,90
37000,3.813,3.796,7.610,0.000,0.000,90
37500,3.754,3.855,7.610,0.000,0.000,90
38000,3.754,3.929,7.684,0.000,0.000,90
38500,3.794,3.801,7.595,0.000,0.000,90
39000,3.754,3.914,7.669,0.000,0.000,90
39500,3.764,3.904,7.669,0.000,0.000,90
40000,3.803,3.762,7.566,0.000,0.000,90
40500,3.735,3.860,7.595,0.000,0.000,90
41000,3.803,3.762,7.566,0.000,0.000,90
41500,3.745,3.836,7.580,0.000,0.000,90
42000,3.754,3.811,7.566,0.000,0.000,90
42500,3.794,3.757,7.551,0.000,0.000,90
43000,3.754,3.900,7.654,0.000,0.000,90
43500,3.735,3.890,7.625,0.000,0.000,90
44000,3.745,3.836,7.580,0.000,0.000,90
44500,3.745,3.850,7.595,0.000,0.000,90
45000,3.735,3.831,7.566,0.000,0.000,90
45500,3.735,3.845,7.580,0.000,0.000,90
46000,3.735,3.875,7.610,0.000,0.000,90
46500,3.735,3.904,7.639,0.000,0.000,90
47000,3.715,3.836,7.551,0.000,0.000,90
47500,3.725,3.840,7.566,0.000,0.000,90
48000,3.754,3.796,7.551,0.000,0.000,90
48500,3.735,3.875,7.610,0.000,0.000,90
49000,3.735,3.875,7.610,0.000,0.000,90
49500,3.735,3.845,7.580,0.000,0.000,90
50000,3.715,3.806,7.521,0.000,0.000,90
50500,3.735,3.860,7.595,0.000,0.000,90
51000,3.735,3.831,7.566,0.000,0.000,90
51500,3.735,3.786,7.521,0.000,0.000,90
52000,3.725,3.855,7.580,0.000,0.000,90
52500,3.725,3.840,7.566,0.000,0.000,90
53000,3.735,3.845,7.580,0.000,0.000,90
53500,3.725,3.929,7.654,0.000,0.000,90
54000,3.725,3.855,7.580,0.000,0.000,90
54500,3.754,3.752,7.507,0.000,0.000,90
55000,3.715,3.806,7.521,0.000,0.000,90
55500,3.715,3.821,7.536,0.000,0.000,90
56000,3.754,3.796,7.551,0.000,0.000,90
56500,3.715,3.821,7.536,0.000,0.000,90
57000,3.715,3.821,7.536,0.000,0.000,90
57500,3.696,3.826,7.521,0.000,0.000,90
58000,3.735,3.757,7.492,0.000,0.000,90
58500,3.715,3.777,7.492,0.000,0.000,90
59000,3.715,3.850,7.566,0.000,0.000,90
59500,3.715,3.880,7.595,0.000,0.000,90
60000,3.715,3.865,7.580,0.000,0.000,90
60500,3.725,3.826,7.551,0.000,0.000,90
61000,3.705,3.801,7.507,0.000,0.000,90
61500,3.696,3.811,7.507,0.000,0.000,90
62000,3.735,3.772,7.507,0.000,0.000,90
62500,3.705,3.786,7.492,0.000,0.000,90
63000,3.705,3.801,7.507,0.000,0.000,90
63500,3.754,3.752,7.507,0.000,0.000,90
64000,3.686,3.806,7.492,0.000,0.000,90
64500,3.735,3.757,7.492,0.000,0.000,90
65000,3.754,3.737,7.492,0.000,0.000,90
65500,3.705,3.801,7.507,0.000,0.000,90
66000,3.715,3.777,7.492,0.000,0.000,90
66500,3.705,3.816,7.521,0.000,0.000,90
67000,3.696,3.781,7.477,0.000,0.000,90
67500,3.696,3.796,7.492,0.000,0.000,90
68000,3.705,3.860,7.566,0.000,0.000,90
68500,3.745,3.732,7.477,0.000,0.000,90
69000,3.686,3.806,7.492,0.000,0.000,90
69500,3.696,3.781,7.477,0.000,0.000,90
70000,3.705,3.816,7.521,0.000,0.000,90
70500,3.696,3.870,7.566,0.000,0.000,90
71000,3.715,3.791,7.507,0.000,0.000,90
71500,3.705,3.786,7.492,0.000,0.000,90
72000,3.794,3.669,7.462,0.000,0.000,90
72500,3.705,3.845,7.551,0.000,0.000,90
73000,3.725,3.737,7.462,0.000,0.000,90
73500,3.705,3.786,7.492,0.000,0.000,90
74000,3.715,3.747,7.462,0.000,0.000,90
74500,3.725,3.737,7.462,0.000,0.000,90
75000,3.686,3.791,7.477,0.000,0.000,90
75500,3.676,3.801,7.477,0.000,0.000,90
76000,3.686,3.791,7.477,0.000,0.000,90
76500,3.735,3.786,7.521,0.000,0.000,90
77000,3.676,3.801,7.477,0.000,0.000,90
77500,3.676,3.786,7.462,0.000,0.000,90
78000,3.715,3.732,7.448,0.000,0.000,90
78500,3.676,3.786,7.462,0.000,0.000,90
79000,3.686,3.762,7.448,0.000,0.000,90
79500,3.705,3.727,7.433,0.000,0.000,90
80000,3.686,3.791,7.477,0.000,0.000,90
80500,3.715,3.806,7.521,0.000,0.000,90
81000,3.686,3.850,7.536,0.000,0.000,90
81500,3.666,3.781,7.448,0.000,0.000,90
82000,3.735,3.713,7.448,0.000,0.000,90
82500,3.686,3.806,7.492,0.000,0.000,90
83000,3.696,3.767,7.462,0.000,0.000,90
83500,3.705,3.757,7.462,0.000,0.000,90
84000,3.715,3.718,7.433,0.000,0.000,90
84500,3.676,3.816,7.492,0.000,0.000,90
85000,3.676,3.830,7.507,0.000,0.000,90
85500,3.696,3.767,7.462,0.000,0.000,90
86000,3.715,3.703,7.418,0.000,0.000,90
86500,3.676,3.786,7.462,0.000,0.000,90
87000,3.686,3.821,7.507,0.000,0.000,90
87500,3.676,3.801,7.477,0.000,0.000,90
88000,3.686,3.806,7.492,0.000,0.000,90
88500,3.696,3.752,7.448,0.000,0.000,90
89000,3.666,3.781,7.448,0.000,0.000,90
89500,3.725,3.708,7.433,0.000,0.000,90
90000,3.656,3.776,7.433,0.000,0.000,90
90500,3.676,3.786,7.462,0.000,0.000,90
91000,3.666,3.781,7.448,0.000,0.000,90
91500,3.745,3.688,7.433,0.000,0.000,90
92000,3.676,3.801,7.477,0.000,0.000,90
92500,3.696,3.737,7.433,0.000,0.000,90
93000,3.676,3.742,7.418,0.000,0.000,90
93500,3.715,3.718,7.433,0.000,0.000,90
94000,3.656,3.821,7.477,0.000,0.000,90
94500,3.656,3.776,7.433,0.000,0.000,90
95000,3.676,3.742,7.418,0.000,0.000,90
95500,3.666,3.811,7.477,0.000,0.000,90
96000,3.715,3.703,7.418,0.000,0.000,90
96500,3.696,3.722,7.418,0.000,0.000,90
97000,3.656,3.762,7.418,0.000,0.000,90
97500,3.666,3.826,7.492,0.000,0.000,90
98000,3.676,3.757,7.433,0.000,0.000,90
98500,3.647,3.771,7.418,0.000,0.000,90
99000,3.647,3.771,7.418,0.000,0.000,90
99500,3.696,3.722,7.418,0.000,0.000,90
100000,3.666,3.811,7.477,0.000,0.000,90
100500,3.666,3.811,7.477,0.000,0.000,90
101000,3.666,3.737,7.403,0.000,0.000,90
101500,3.666,3.767,7.433,0.000,0.000,90
102000,3.676,3.727,7.403,0.000,0.000,90
102500,3.656,3.732,7.389,0.000,0.000,90
103000,3.666,3.737,7.403,0.000,0.000,90
103500,3.647,3.757,7.403,0.000,0.000,90
104000,3.656,3.776,7.433,0.000,0.000,90
104500,3.676,3.801,7.477,0.000,0.000,90
105000,3.666,3.722,7.389,0.000,0.000,90
105500,3.637,3.766,7.403,0.000,0.000,90
106000,3.637,3.752,7.389,0.000,0.000,90
106500,3.705,3.698,7.403,0.000,0.000,90
107000,3.647,3.757,7.403,0.000,0.000,90
107500,3.656,3.776,7.433,0.000,0.000,90
108000,3.647,3.786,7.433,0.000,0.000,90
108500,3.725,3.678,7.403,0.000,0.000,90
109000,3.656,3.717,7.374,0.000,0.000,90
109500,3.696,3.693,7.389,0.000,0.000,90
110000,3.686,3.747,7.433,0.000,0.000,90
110500,3.705,3.668,7.374,0.000,0.000,90
111000,3.656,3.776,7.433,0.000,0.000,90
111500,3.637,3.737,7.374,0.000,0.000,90
112000,3.647,3.801,7.448,0.000,0.000,90
112500,3.637,3.737,7.374,0.000,0.000,90
113000,3.647,3.771,7.418,0.000,0.000,90
113500,3.676,3.713,7.389,0.000,0.000,90
114000,3.656,3.791,7.448,0.000,0.000,90
114500,3.647,3.771,7.418,0.000,0.000,90
115000,3.647,3.712,7.359,0.000,0.000,90
115500,3.666,3.708,7.374,0.000,0.000,90
116000,3.647,3.742,7.389,0.000,0.000,90
116500,3.647,3.742,7.389,0.000,0.000,90
117000,3.686,3.673,7.359,0.000,0.000,90
117500,3.656,3.762,7.418,0.000,0.000,90
118000,3.647,3.786,7.433,0.000,0.000,90
118500,3.647,3.727,7.374,0.000,0.000,90
119000,3.686,3.673,7.359,0.000,0.000,90
119500,3.647,3.727,7.374,0.000,0.000,90
120000,3.647,3.771,7.418,0.000,0.000,90
120500,3.666,3.708,7.374,0.000,0.000,90
121000,3.676,3.683,7.359,0.000,0.000,90
121500,3.647,3.712,7.359,0.000,0.000,90
122000,3.637,3.722,7.359,0.000,0.000,90
122500,3.656,3.732,7.389,0.000,0.000,90
123000,3.617,3.742,7.359,0.000,0.000,90
123500,3.627,3.717,7.344,0.000,0.000,90
124000,3.637,3.766,7.403,0.000,0.000,90
124500,3.647,3.698,7.344,0.000,0.000,90
125000,3.647,3.786,7.433,0.000,0.000,90
125500,3.647,3.698,7.344,0.000,0.000,90
126000,3.637,3.707,7.344,0.000,0.000,90
126500,3.686,3.673,7.359,0.000,0.000,90
