time,cell1,cell2,cell3,cell4,total,throttle
Система готова
5000,0.000,4.292,4.292,0.000,0.000,30
5500,0.000,4.292,4.292,0.000,0.000,30
6000,0.000,4.292,4.292,0.000,0.000,30
6500,0.000,4.306,4.306,0.000,0.000,30
7000,0.000,4.292,4.292,0.000,0.000,30
7500,0.000,4.292,4.292,0.000,0.000,30
8000,0.000,4.292,4.292,0.000,0.000,30
8500,0.000,4.292,4.292,0.000,0.000,30
9000,0.000,4.292,4.292,0.000,0.000,30
9500,0.000,4.292,4.292,0.000,0.000,30
10000,0.000,4.292,4.292,0.000,0.000,30
10500,0.000,4.292,4.292,0.000,0.000,30
11000,0.000,4.292,4.292,0.000,0.000,30
11500,0.000,4.292,4.292,0.000,0.000,30
12000,0.000,4.292,4.292,0.000,0.000,30
12500,0.000,4.292,4.292,0.000,0.000,30
13000,0.000,4.292,4.292,0.000,0.000,30
13500,0.000,4.306,4.306,0.000,0.000,30
14000,0.000,4.292,4.292,0.000,0.000,30
14500,0.000,4.292,4.292,0.000,0.000,30
15000,0.000,4.292,4.292,0.000,0.000,30
15500,0.000,4.292,4.292,0.000,0.000,30
16000,0.010,4.282,4.252,0.040,0.000,30
16500,0.118,4.174,4.212,0.044,0.123,30
17000,0.127,4.164,4.212,0.044,0.123,30
17500,0.000,4.292,4.193,0.099,0.000,30
18000,0.029,4.277,4.267,0.015,0.025,30
18500,0.059,4.233,4.232,0.014,0.074,30
19000,0.000,4.292,4.292,0.000,0.000,30
19500,0.029,4.262,4.212,0.093,0.172,30
20000,0.020,4.272,4.232,0.039,0.098,30
20500,0.029,4.262,4.232,0.035,0.025,30
21000,0.059,4.233,4.212,0.055,0.025,30
21500,0.000,4.292,4.292,0.000,0.000,30
22000,0.000,4.292,4.292,0.000,0.000,30
22500,0.000,4.292,4.292,0.000,0.000,30
23000,0.000,4.292,4.292,0.000,0.000,30
23500,0.000,4.292,4.292,0.000,0.000,30
24000,0.000,4.292,4.292,0.000,0.000,30
24500,0.000,4.292,4.292,0.000,0.000,30
25000,0.000,4.292,4.292,0.000,0.000,30
25500,0.000,4.292,4.292,0.000,0.000,30
26000,0.000,4.292,4.292,0.000,0.000,30
26500,0.000,4.292,4.292,0.000,0.000,30
27000,0.000,4.292,4.292,0.000,0.000,30
27500,0.000,4.292,4.292,0.000,0.000,30
28000,0.000,4.292,4.292,0.000,0.000,30
28500,0.000,4.292,4.292,0.000,0.000,30
29000,0.000,4.292,4.292,0.000,0.000,30
29500,0.000,4.292,4.292,0.000,0.000,30
30000,0.000,4.292,4.292,0.000,0.000,30
30500,0.000,4.292,4.292,0.000,0.000,30
31000,0.000,4.292,4.292,0.000,0.000,30
Система готова
5000,0.000,4.292,4.292,0.000,0.000,30
5500,0.000,4.292,4.292,0.000,0.000,30
6000,0.000,4.292,4.292,0.000,0.000,30
6500,0.000,4.292,4.292,0.000,0.000,30
7000,0.000,4.292,4.292,0.000,0.000,30
7500,0.000,4.292,4.292,0.000,0.000,30
8000,0.000,4.292,4.292,0.000,0.000,30
8500,0.000,4.292,4.292,0.000,0.000,30
9000,0.000,4.292,4.292,0.000,0.000,30
9500,0.000,4.292,4.292,0.000,0.000,30
10000,0.000,4.292,4.292,0.000,0.000,30
10500,0.000,4.292,4.292,0.000,0.000,30
11000,0.000,4.292,4.292,0.000,0.000,30
11500,0.000,4.292,4.292,0.000,0.000,30
12000,0.000,4.292,4.292,0.000,0.000,30
12500,0.000,4.292,4.292,0.000,0.000,30
13000,0.000,4.292,4.292,0.000,0.000,30
13500,0.000,4.292,4.292,0.000,0.000,30
14000,0.000,4.292,4.292,0.000,0.000,30
14500,0.000,4.306,4.306,0.000,0.000,30
15000,0.000,4.292,4.292,0.000,0.000,30
15500,0.000,4.292,4.292,0.000,0.000,30
16000,0.000,4.292,4.292,0.000,0.000,30
16500,0.000,4.292,4.292,0.000,0.000,30
17000,0.000,4.292,4.292,0.000,0.000,30
17500,0.000,4.292,4.292,0.000,0.000,30
18000,0.000,4.292,4.292,0.000,0.000,30
18500,0.000,4.292,4.292,0.000,0.000,30
19000,0.000,4.292,4.292,0.000,0.000,30
19500,0.000,4.292,4.292,0.000,0.000,30
20000,0.000,4.292,4.292,0.000,0.000,30
20500,0.000,4.292,4.292,0.000,0.000,30
21000,0.000,4.292,4.292,0.000,0.000,30
21500,0.000,4.292,4.292,0.000,0.000,30
22000,0.000,4.292,4.292,0.000,0.000,30
