time,cell1,cell2,cell3,cell4,total,throttle
Старт цикла: 10с работа, 10с пауза
14999,4.156,4.176,8.332,0.000,0.000,20
15499,4.156,4.176,8.332,0.000,0.000,20
16000,4.156,4.176,8.332,0.000,0.000,20
16500,4.156,4.176,8.332,0.000,0.000,20
17000,4.156,4.176,8.332,0.000,0.000,20
17500,4.156,4.176,8.332,0.000,0.000,20
18000,4.156,4.176,8.332,0.000,0.000,20
18500,4.156,4.176,8.332,0.000,0.000,20
19000,4.156,4.176,8.332,0.000,0.000,20
19500,4.156,4.176,8.332,0.000,0.000,20
20000,4.156,4.176,8.332,0.000,0.000,20
20500,4.127,4.161,8.288,0.000,0.000,20
21000,4.137,4.181,8.318,0.000,0.000,20
21500,4.147,4.171,8.318,0.000,0.000,20
22000,4.147,4.171,8.318,0.000,0.000,20
22500,4.147,4.156,8.303,0.000,0.000,20
23000,4.156,4.161,8.318,0.000,0.000,20
23500,4.147,4.156,8.303,0.000,0.000,20
24000,4.147,4.171,8.318,0.000,0.000,20
24500,4.137,4.181,8.318,0.000,0.000,20
25000,4.147,4.156,8.303,0.000,0.000,20
25500,4.147,4.156,8.303,0.000,0.000,20
26000,4.147,4.171,8.318,0.000,0.000,20
26500,4.147,4.142,8.288,0.000,0.000,20
27000,4.137,4.151,8.288,0.000,0.000,20
27500,4.137,4.151,8.288,0.000,0.000,20
28000,4.147,4.156,8.303,0.000,0.000,20
28500,4.147,4.156,8.303,0.000,0.000,20
29000,4.147,4.142,8.288,0.000,0.000,20
29500,4.137,4.151,8.288,0.000,0.000,20
30000,4.137,4.151,8.288,0.000,0.000,20
30500,4.147,4.171,8.318,0.000,0.000,20
31000,4.147,4.171,8.318,0.000,0.000,20
31500,4.147,4.171,8.318,0.000,0.000,20
32000,4.147,4.171,8.318,0.000,0.000,20
32500,4.147,4.171,8.318,0.000,0.000,20
33000,4.147,4.171,8.318,0.000,0.000,20
33500,4.147,4.171,8.318,0.000,0.000,20
34000,4.156,4.176,8.332,0.000,0.000,20
34500,4.156,4.161,8.318,0.000,0.000,20
35000,4.156,4.161,8.318,0.000,0.000,20
35500,4.147,4.171,8.318,0.000,0.000,20
36000,4.156,4.176,8.332,0.000,0.000,20
36500,4.156,4.176,8.332,0.000,0.000,20
37000,4.156,4.176,8.332,0.000,0.000,20
37500,4.156,4.176,8.332,0.000,0.000,20
38000,4.156,4.176,8.332,0.000,0.000,20
38500,4.156,4.176,8.332,0.000,0.000,20
39000,4.156,4.176,8.332,0.000,0.000,20
39500,4.156,4.176,8.332,0.000,0.000,20
40000,4.156,4.176,8.332,0.000,0.000,20
40500,4.117,4.200,8.318,0.000,0.000,20
41000,4.147,4.156,8.303,0.000,0.000,20
41500,4.137,4.181,8.318,0.000,0.000,20
42000,4.156,4.147,8.303,0.000,0.000,20
42500,4.127,4.176,8.303,0.000,0.000,20
43000,4.147,4.171,8.318,0.000,0.000,20
43500,4.137,4.181,8.318,0.000,0.000,20
44000,4.147,4.171,8.318,0.000,0.000,20
44500,4.137,4.166,8.303,0.000,0.000,20
45000,4.147,4.156,8.303,0.000,0.000,20
45500,4.147,4.156,8.303,0.000,0.000,20
46000,4.147,4.156,8.303,0.000,0.000,20
46500,4.137,4.181,8.318,0.000,0.000,20
47000,4.127,4.176,8.303,0.000,0.000,20
47500,4.137,4.166,8.303,0.000,0.000,20
48000,4.137,4.166,8.303,0.000,0.000,20
48500,4.137,4.137,8.273,0.000,0.000,20
49000,4.127,4.176,8.303,0.000,0.000,20
49500,4.127,4.176,8.303,0.000,0.000,20
50000,4.137,4.166,8.303,0.000,0.000,20
50500,4.147,4.171,8.318,0.000,0.000,20
51000,4.147,4.171,8.318,0.000,0.000,20
51500,4.147,4.171,8.318,0.000,0.000,20
52000,4.147,4.171,8.318,0.000,0.000,20
52500,4.147,4.171,8.318,0.000,0.000,20
53000,4.147,4.171,8.318,0.000,0.000,20
53500,4.147,4.171,8.318,0.000,0.000,20
54000,4.147,4.171,8.318,0.000,0.000,20
54500,4.147,4.171,8.318,0.000,0.000,20
55000,4.156,4.161,8.318,0.000,0.000,20
55500,4.147,4.171,8.318,0.000,0.000,20
56000,4.147,4.171,8.318,0.000,0.000,20
56500,4.147,4.171,8.318,0.000,0.000,20
57000,4.147,4.171,8.318,0.000,0.000,20
57500,4.147,4.171,8.318,0.000,0.000,20
58000,4.156,4.161,8.318,0.000,0.000,20
58500,4.147,4.186,8.332,0.000,0.000,20
59000,4.147,4.171,8.318,0.000,0.000,20
59500,4.147,4.171,8.318,0.000,0.000,20
60000,4.147,4.171,8.318,0.000,0.000,20
60500,4.117,4.171,8.288,0.000,0.000,20
61000,4.147,4.156,8.303,0.000,0.000,20
61500,4.147,4.171,8.318,0.000,0.000,20
62000,4.137,4.151,8.288,0.000,0.000,20
62500,4.137,4.166,8.303,0.000,0.000,20
63000,4.147,4.156,8.303,0.000,0.000,20
63500,4.137,4.151,8.288,0.000,0.000,20
64000,4.117,4.186,8.303,0.000,0.000,20
64500,4.137,4.166,8.303,0.000,0.000,20
65000,4.127,4.176,8.303,0.000,0.000,20
65500,4.147,4.156,8.303,0.000,0.000,20
66000,4.147,4.156,8.303,0.000,0.000,20
66500,4.127,4.176,8.303,0.000,0.000,20
