time,cell1,cell2,cell3,cell4,total,throttle
Ожидание 10 секунд перед запуском мотора...
Мотор запущен!
15012,4.196,4.211,8.406,0.000,0.000,40
15512,4.186,4.161,8.347,0.000,0.000,40
16012,4.196,4.166,8.362,0.000,0.000,40
16512,4.166,4.137,8.303,0.000,0.000,40
17012,4.166,4.166,8.332,0.000,0.000,40
17512,4.196,4.152,8.347,0.000,0.000,40
18012,4.166,4.137,8.303,0.000,0.000,40
18512,4.166,4.151,8.318,0.000,0.000,40
19012,4.147,4.201,8.347,0.000,0.000,40
19512,4.156,4.147,8.303,0.000,0.000,40
20012,4.127,4.235,8.362,0.000,0.000,40
20512,4.137,4.225,8.362,0.000,0.000,40
21012,4.166,4.166,8.332,0.000,0.000,40
21512,4.127,4.220,8.347,0.000,0.000,40
22012,4.127,4.220,8.347,0.000,0.000,40
22512,4.127,4.205,8.332,0.000,0.000,40
23012,4.176,4.142,8.318,0.000,0.000,40
23512,4.156,4.147,8.303,0.000,0.000,40
24012,4.127,4.220,8.347,0.000,0.000,40
24512,4.127,4.220,8.347,0.000,0.000,40
25012,4.147,4.171,8.318,0.000,0.000,40
25512,4.127,4.235,8.362,0.000,0.000,40
26012,4.117,4.215,8.332,0.000,0.000,40
26512,4.147,4.171,8.318,0.000,0.000,40
27012,4.176,4.156,8.332,0.000,0.000,40
27512,4.147,4.171,8.318,0.000,0.000,40
28012,4.147,4.171,8.318,0.000,0.000,40
28512,4.166,4.151,8.318,0.000,0.000,40
29012,4.156,4.132,8.288,0.000,0.000,40
29512,4.156,4.132,8.288,0.000,0.000,40
30012,4.176,4.142,8.318,0.000,0.000,40
30512,4.166,4.122,8.288,0.000,0.000,40
31012,4.147,4.112,8.259,0.000,0.000,40
31512,4.117,4.230,8.347,0.000,0.000,40
32012,4.107,4.225,8.332,0.000,0.000,40
32512,4.147,4.127,8.273,0.000,0.000,40
33012,4.156,4.117,8.273,0.000,0.000,40
33512,4.137,4.181,8.318,0.000,0.000,40
34012,4.137,4.210,8.347,0.000,0.000,40
34512,4.147,4.112,8.259,0.000,0.000,40
35012,4.107,4.210,8.318,0.000,0.000,40
35512,4.117,4.215,8.332,0.000,0.000,40
36012,4.137,4.196,8.332,0.000,0.000,40
36512,4.127,4.205,8.332,0.000,0.000,40
37012,4.127,4.191,8.318,0.000,0.000,40
37512,4.107,4.210,8.318,0.000,0.000,40
38012,4.137,4.151,8.288,0.000,0.000,40
38512,4.127,4.205,8.332,0.000,0.000,40
39012,4.117,4.215,8.332,0.000,0.000,40
39512,4.147,4.156,8.303,0.000,0.000,40
40012,4.166,4.137,8.303,0.000,0.000,40
40512,4.166,4.107,8.273,0.000,0.000,40
41012,4.156,4.117,8.273,0.000,0.000,40
41512,4.107,4.210,8.318,0.000,0.000,40
42012,4.137,4.137,8.273,0.000,0.000,40
42512,4.166,4.137,8.303,0.000,0.000,40
43012,4.166,4.137,8.303,0.000,0.000,40
43512,4.147,4.127,8.273,0.000,0.000,40
44012,4.098,4.220,8.318,0.000,0.000,40
44512,4.127,4.205,8.332,0.000,0.000,40
45012,4.127,4.176,8.303,0.000,0.000,40
45512,4.127,4.205,8.332,0.000,0.000,40
46012,4.166,4.122,8.288,0.000,0.000,40
46512,4.147,4.127,8.273,0.000,0.000,40
47012,4.107,4.210,8.318,0.000,0.000,40
47512,4.098,4.205,8.303,0.000,0.000,40
48012,4.166,4.137,8.303,0.000,0.000,40
48512,4.117,4.200,8.318,0.000,0.000,40
49012,4.166,4.122,8.288,0.000,0.000,40
49512,4.166,4.122,8.288,0.000,0.000,40
50012,4.117,4.186,8.303,0.000,0.000,40
50512,4.147,4.097,8.244,0.000,0.000,40
51012,4.137,4.107,8.244,0.000,0.000,40
51512,4.098,4.205,8.303,0.000,0.000,40
52012,4.098,4.205,8.303,0.000,0.000,40
52512,4.137,4.122,8.259,0.000,0.000,40
53012,4.137,4.122,8.259,0.000,0.000,40
53512,4.156,4.117,8.273,0.000,0.000,40
54012,4.107,4.196,8.303,0.000,0.000,40
54512,4.156,4.117,8.273,0.000,0.000,40
55012,4.127,4.191,8.318,0.000,0.000,40
55512,4.107,4.210,8.318,0.000,0.000,40
56012,4.127,4.102,8.229,0.000,0.000,40
56512,4.098,4.205,8.303,0.000,0.000,40
57012,4.156,4.117,8.273,0.000,0.000,40
57512,4.147,4.112,8.259,0.000,0.000,40
58012,4.098,4.220,8.318,0.000,0.000,40
58512,4.107,4.196,8.303,0.000,0.000,40
59012,4.137,4.107,8.244,0.000,0.000,40
59512,4.147,4.127,8.273,0.000,0.000,40
60012,4.137,4.107,8.244,0.000,0.000,40
60512,4.156,4.132,8.288,0.000,0.000,40
61012,4.098,4.205,8.303,0.000,0.000,40
61512,4.147,4.142,8.288,0.000,0.000,40
62012,4.117,4.200,8.318,0.000,0.000,40
62512,4.147,4.112,8.259,0.000,0.000,40
63012,4.107,4.196,8.303,0.000,0.000,40
63512,4.156,4.117,8.273,0.000,0.000,40
64012,4.137,4.137,8.273,0.000,0.000,40
64512,4.137,4.137,8.273,0.000,0.000,40
65012,4.156,4.102,8.259,0.000,0.000,40
