time,cell1,cell2,cell3,cell4,total,throttle
14999,4.176,4.201,8.377,0.000,0.000,70
15499,4.156,4.206,8.362,0.000,0.000,70
16000,4.107,3.960,8.067,0.000,0.000,70
16500,4.049,4.063,8.111,0.000,0.000,70
17000,4.098,3.984,8.082,0.000,0.000,70
17500,4.029,4.171,8.200,0.000,0.000,70
18000,4.019,4.166,8.185,0.000,0.000,70
18500,4.058,4.009,8.067,0.000,0.000,70
19000,4.019,4.151,8.170,0.000,0.000,70
19500,4.039,3.999,8.037,0.000,0.000,70
20000,4.039,4.117,8.155,0.000,0.000,70
20500,3.980,4.043,8.023,0.000,0.000,70
21000,4.000,4.126,8.126,0.000,0.000,70
21500,4.000,4.097,8.096,0.000,0.000,70
22000,3.990,4.033,8.023,0.000,0.000,70
22500,4.058,3.964,8.023,0.000,0.000,70
23000,4.058,3.979,8.037,0.000,0.000,70
23500,4.039,3.984,8.023,0.000,0.000,70
24000,4.000,4.008,8.008,0.000,0.000,70
24500,4.039,3.954,7.993,0.000,0.000,70
25000,4.049,3.915,7.964,0.000,0.000,70
25500,3.970,4.053,8.023,0.000,0.000,70
26000,3.980,4.117,8.096,0.000,0.000,70
26500,4.049,3.945,7.993,0.000,0.000,70
27000,4.009,3.969,7.978,0.000,0.000,70
27500,3.970,4.053,8.023,0.000,0.000,70
28000,3.980,4.102,8.082,0.000,0.000,70
28500,3.970,3.994,7.964,0.000,0.000,70
29000,4.039,3.925,7.964,0.000,0.000,70
29500,3.970,4.112,8.082,0.000,0.000,70
30000,3.990,3.974,7.964,0.000,0.000,70
30500,4.039,3.954,7.993,0.000,0.000,70
31000,3.970,3.979,7.949,0.000,0.000,70
31500,4.029,3.905,7.934,0.000,0.000,70
32000,4.029,3.920,7.949,0.000,0.000,70
32500,3.970,4.023,7.993,0.000,0.000,70
33000,3.960,4.062,8.023,0.000,0.000,70
33500,4.029,3.920,7.949,0.000,0.000,70
34000,4.029,3.920,7.949,0.000,0.000,70
34500,3.951,4.057,8.008,0.000,0.000,70
35000,3.941,4.038,7.978,0.000,0.000,70
35500,4.009,3.925,7.934,0.000,0.000,70
36000,3.951,3.998,7.949,0.000,0.000,70
36500,4.019,3.886,7.905,0.000,0.000,70
37000,3.951,3.984,7.934,0.000,0.000,70
37500,3.941,4.038,7.978,0.000,0.000,70
38000,3.951,4.072,8.023,0.000,0.000,70
38500,4.019,3.915,7.934,0.000,0.000,70
39000,3.941,4.038,7.978,0.000,0.000,70
39500,3.980,3.954,7.934,0.000,0.000,70
40000,3.951,4.043,7.993,0.000,0.000,70
40500,3.951,4.028,7.978,0.000,0.000,70
41000,3.941,3.979,7.919,0.000,0.000,70
41500,3.960,3.959,7.919,0.000,0.000,70
42000,3.960,4.062,8.023,0.000,0.000,70
42500,3.941,4.023,7.964,0.000,0.000,70
43000,3.931,4.018,7.949,0.000,0.000,70
43500,4.009,3.881,7.890,0.000,0.000,70
44000,3.970,3.964,7.934,0.000,0.000,70
44500,3.941,4.052,7.993,0.000,0.000,70
45000,3.921,4.043,7.964,0.000,0.000,70
45500,3.941,4.038,7.978,0.000,0.000,70
46000,3.970,3.935,7.905,0.000,0.000,70
46500,3.951,3.984,7.934,0.000,0.000,70
47000,3.960,3.944,7.905,0.000,0.000,70
47500,3.931,4.033,7.964,0.000,0.000,70
48000,3.990,3.871,7.860,0.000,0.000,70
48500,3.931,4.077,8.008,0.000,0.000,70
49000,4.000,3.861,7.860,0.000,0.000,70
49500,3.960,3.944,7.905,0.000,0.000,70
50000,3.980,3.910,7.890,0.000,0.000,70
50500,3.960,3.959,7.919,0.000,0.000,70
51000,3.921,4.013,7.934,0.000,0.000,70
51500,3.931,4.062,7.993,0.000,0.000,70
52000,3.970,3.890,7.860,0.000,0.000,70
52500,3.921,3.998,7.919,0.000,0.000,70
53000,3.931,4.062,7.993,0.000,0.000,70
53500,3.960,3.930,7.890,0.000,0.000,70
54000,3.931,3.944,7.875,0.000,0.000,70
54500,3.931,4.048,7.978,0.000,0.000,70
55000,3.931,3.959,7.890,0.000,0.000,70
55500,3.960,3.915,7.875,0.000,0.000,70
56000,3.921,4.028,7.949,0.000,0.000,70
56500,3.921,4.043,7.964,0.000,0.000,70
57000,3.911,3.964,7.875,0.000,0.000,70
57500,3.921,3.969,7.890,0.000,0.000,70
58000,3.911,3.964,7.875,0.000,0.000,70
58500,3.921,4.043,7.964,0.000,0.000,70
59000,3.931,3.944,7.875,0.000,0.000,70
59500,3.941,3.920,7.860,0.000,0.000,70
60000,3.921,3.984,7.905,0.000,0.000,70
60500,3.911,3.934,7.846,0.000,0.000,70
61000,3.921,4.043,7.964,0.000,0.000,70
61500,3.911,4.038,7.949,0.000,0.000,70
62000,3.921,3.939,7.860,0.000,0.000,70
62500,3.921,4.013,7.934,0.000,0.000,70
63000,3.911,4.023,7.934,0.000,0.000,70
63500,3.980,3.866,7.846,0.000,0.000,70
64000,3.902,3.959,7.860,0.000,0.000,70
64500,3.902,3.974,7.875,0.000,0.000,70
65000,3.931,3.900,7.831,0.000,0.000,70
65500,3.951,3.925,7.875,0.000,0.000,70
66000,3.902,4.018,7.919,0.000,0.000,70
66500,3.902,4.003,7.905,0.000,0.000,70
67000,3.980,3.866,7.846,0.000,0.000,70
67500,3.911,4.023,7.934,0.000,0.000,70
68000,3.892,3.984,7.875,0.000,0.000,70
68500,3.902,3.988,7.890,0.000,0.000,70
69000,3.941,3.905,7.846,0.000,0.000,70
69500,3.921,3.910,7.831,0.000,0.000,70
70000,3.960,3.871,7.831,0.000,0.000,70
70500,3.921,3.910,7.831,0.000,0.000,70
71000,3.902,4.003,7.905,0.000,0.000,70
71500,3.902,3.944,7.846,0.000,0.000,70
72000,3.902,3.988,7.890,0.000,0.000,70
72500,3.911,3.993,7.905,0.000,0.000,70
73000,3.970,3.846,7.816,0.000,0.000,70
73500,3.892,3.984,7.875,0.000,0.000,70
74000,3.960,3.871,7.831,0.000,0.000,70
74500,3.902,3.959,7.860,0.000,0.000,70
75000,3.951,3.895,7.846,0.000,0.000,70
75500,3.921,3.895,7.816,0.000,0.000,70
76000,3.902,3.959,7.860,0.000,0.000,70
76500,3.960,3.841,7.802,0.000,0.000,70
77000,3.892,3.998,7.890,0.000,0.000,70
77500,3.941,3.876,7.816,0.000,0.000,70
78000,3.882,3.964,7.846,0.000,0.000,70
78500,3.921,3.895,7.816,0.000,0.000,70
79000,3.960,3.856,7.816,0.000,0.000,70
79500,3.951,3.851,7.802,0.000,0.000,70
80000,3.960,3.841,7.802,0.000,0.000,70
80500,3.892,4.028,7.919,0.000,0.000,70
81000,3.892,4.013,7.905,0.000,0.000,70
81500,3.892,3.998,7.890,0.000,0.000,70
82000,3.882,3.905,7.787,0.000,0.000,70
82500,3.882,3.920,7.802,0.000,0.000,70
83000,3.882,3.993,7.875,0.000,0.000,70
83500,3.951,3.851,7.802,0.000,0.000,70
84000,3.882,3.993,7.875,0.000,0.000,70
84500,3.892,4.013,7.905,0.000,0.000,70
85000,3.882,3.979,7.860,0.000,0.000,70
85500,3.951,3.821,7.772,0.025,0.025,70
86000,3.872,3.915,7.787,0.000,0.000,70
86500,3.882,4.023,7.905,0.000,0.000,70
87000,3.882,3.993,7.875,0.000,0.000,70
87500,3.921,3.851,7.772,0.000,0.000,70
88000,3.882,3.964,7.846,0.000,0.000,70
88500,3.882,3.993,7.875,0.000,0.000,70
89000,3.882,3.934,7.816,0.000,0.000,70
89500,3.862,3.924,7.787,0.000,0.000,70
90000,3.911,3.875,7.787,0.000,0.000,70
90500,3.882,3.920,7.802,0.000,0.000,70
91000,3.941,3.846,7.787,0.000,0.000,70
91500,3.882,3.905,7.787,0.000,0.000,70
92000,3.882,4.008,7.890,0.000,0.000,70
92500,3.941,3.831,7.772,0.000,0.000,70
93000,3.921,3.851,7.772,0.000,0.000,70
93500,3.902,3.870,7.772,0.000,0.000,70
94000,3.862,3.924,7.787,0.000,0.000,70
94500,3.872,3.959,7.831,0.000,0.000,70
95000,3.872,3.959,7.831,0.000,0.000,70
95500,3.862,3.910,7.772,0.000,0.000,70
96000,3.921,3.836,7.757,0.000,0.000,70
96500,3.872,3.959,7.831,0.000,0.000,70
97000,3.862,3.895,7.757,0.000,0.000,70
97500,3.882,3.993,7.875,0.000,0.000,70
