time,cell1,cell2,cell3,cell4,total,throttle
Старт цикла: 10с работа, 10с пауза
14999,4.166,4.181,8.347,0.000,0.000,40
15499,4.147,4.127,8.273,0.000,0.000,40
16000,4.107,4.196,8.303,0.000,0.000,40
16500,4.127,4.132,8.259,0.000,0.000,40
17000,4.147,4.112,8.259,0.000,0.000,40
17500,4.127,4.102,8.229,0.000,0.000,40
18000,4.127,4.102,8.229,0.000,0.000,40
18500,4.117,4.186,8.303,0.000,0.000,40
19000,4.127,4.146,8.273,0.000,0.000,40
19500,4.147,4.127,8.273,0.000,0.000,40
20000,4.137,4.137,8.273,0.000,0.000,40
20500,4.107,4.151,8.259,0.000,0.000,40
21000,4.088,4.200,8.288,0.000,0.000,40
21500,4.107,4.196,8.303,0.000,0.000,40
22000,4.127,4.102,8.229,0.000,0.000,40
22500,4.107,4.151,8.259,0.000,0.000,40
23000,4.088,4.200,8.288,0.000,0.000,40
23500,4.127,4.132,8.259,0.000,0.000,40
24000,4.137,4.122,8.259,0.000,0.000,40
24500,4.137,4.107,8.244,0.000,0.000,40
25000,4.137,4.122,8.259,0.000,0.000,40
25500,4.147,4.171,8.318,0.000,0.000,40
26000,4.147,4.171,8.318,0.000,0.000,40
26500,4.147,4.171,8.318,0.000,0.000,40
27000,4.147,4.171,8.318,0.000,0.000,40
27500,4.147,4.171,8.318,0.000,0.000,40
28000,4.147,4.171,8.318,0.000,0.000,40
28500,4.147,4.171,8.318,0.000,0.000,40
29000,4.156,4.176,8.332,0.000,0.000,40
29500,4.156,4.176,8.332,0.000,0.000,40
30000,4.156,4.176,8.332,0.000,0.000,40
30500,4.137,4.151,8.288,0.000,0.000,40
31000,4.078,4.195,8.273,0.000,0.000,40
31500,4.088,4.200,8.288,0.000,0.000,40
32000,4.117,4.083,8.200,0.000,0.000,40
32500,4.107,4.151,8.259,0.000,0.000,40
33000,4.117,4.156,8.273,0.000,0.000,40
33500,4.098,4.176,8.273,0.000,0.000,40
34000,4.127,4.132,8.259,0.000,0.000,40
34500,4.088,4.186,8.273,0.000,0.000,40
35000,4.117,4.127,8.244,0.000,0.000,40
35500,4.107,4.137,8.244,0.000,0.000,40
36000,4.117,4.083,8.200,0.000,0.000,40
36500,4.107,4.166,8.273,0.000,0.000,40
37000,4.107,4.107,8.214,0.000,0.000,40
37500,4.117,4.127,8.244,0.000,0.000,40
38000,4.098,4.176,8.273,0.000,0.000,40
38500,4.137,4.107,8.244,0.000,0.000,40
39000,4.058,4.186,8.244,0.000,0.000,40
39500,4.127,4.117,8.244,0.000,0.000,40
40000,4.117,4.112,8.229,0.000,0.000,40
40500,4.137,4.166,8.303,0.000,0.000,40
41000,4.137,4.166,8.303,0.000,0.000,40
41500,4.137,4.166,8.303,0.000,0.000,40
42000,4.137,4.166,8.303,0.000,0.000,40
42500,4.147,4.156,8.303,0.000,0.000,40
43000,4.147,4.156,8.303,0.000,0.000,40
43500,4.147,4.171,8.318,0.000,0.000,40
44000,4.147,4.171,8.318,0.000,0.000,40
44500,4.147,4.171,8.318,0.000,0.000,40
45000,4.147,4.171,8.318,0.000,0.000,40
45500,4.137,4.151,8.288,0.000,0.000,40
46000,4.127,4.132,8.259,0.000,0.000,40
46500,4.127,4.102,8.229,0.000,0.000,40
47000,4.117,4.127,8.244,0.000,0.000,40
47500,4.127,4.117,8.244,0.000,0.000,40
48000,4.107,4.092,8.200,0.000,0.000,40
48500,4.107,4.078,8.185,0.000,0.000,40
49000,4.127,4.087,8.214,0.000,0.000,40
49500,4.098,4.161,8.259,0.000,0.000,40
50000,4.078,4.195,8.273,0.000,0.000,40
50500,4.088,4.141,8.229,0.000,0.000,40
51000,4.107,4.137,8.244,0.000,0.000,40
51500,4.088,4.141,8.229,0.000,0.000,40
52000,4.068,4.176,8.244,0.000,0.000,40
52500,4.107,4.122,8.229,0.000,0.000,40
53000,4.117,4.112,8.229,0.000,0.000,40
53500,4.078,4.181,8.259,0.000,0.000,40
54000,4.088,4.171,8.259,0.000,0.000,40
54500,4.088,4.171,8.259,0.000,0.000,40
55000,4.107,4.107,8.214,0.000,0.000,40
55500,4.127,4.161,8.288,0.000,0.000,40
56000,4.137,4.151,8.288,0.000,0.000,40
56500,4.137,4.151,8.288,0.000,0.000,40
57000,4.137,4.151,8.288,0.000,0.000,40
57500,4.137,4.151,8.288,0.000,0.000,40
58000,4.137,4.166,8.303,0.000,0.000,40
58500,4.137,4.166,8.303,0.000,0.000,40
59000,4.137,4.166,8.303,0.000,0.000,40
59500,4.137,4.166,8.303,0.000,0.000,40
60000,4.137,4.166,8.303,0.000,0.000,40
