time,cell1,cell2,cell3,cell4,total
Система готова
5,0.000,4.292,-4.292,0.000,0.000
5,0.000,4.292,-4.292,0.000,0.000
6,0.000,4.292,-4.292,0.000,0.000
6,0.000,4.292,-4.292,0.000,0.000
7,0.000,4.292,-4.292,0.000,0.000
7,0.000,4.292,-4.292,0.000,0.000
8,0.000,4.292,-4.292,0.000,0.000
8,0.000,4.292,-4.292,0.000,0.000
9,0.000,4.292,-4.292,0.000,0.000
9,0.000,4.292,-4.292,0.000,0.000
10,0.000,4.292,-4.292,0.000,0.000
10,0.000,4.292,-4.292,0.000,0.000
