time,cell1,cell2,cell3,cell4,total,throttle
Старт цикла: 10с работа, 5с пауза
14999,4.186,4.206,8.391,0.000,0.000,0
15499,4.176,4.186,8.362,0.000,0.000,60
16000,4.088,4.186,8.273,0.000,0.000,60
16500,4.078,4.195,8.273,0.000,0.000,60
17000,4.088,4.215,8.303,0.000,0.000,60
17500,4.127,4.087,8.214,0.000,0.000,60
18000,4.078,4.210,8.288,0.000,0.000,60
18500,4.078,4.151,8.229,0.000,0.000,60
19000,4.107,4.078,8.185,0.000,0.000,60
19500,4.078,4.195,8.273,0.000,0.000,60
20000,4.068,4.176,8.244,0.000,0.000,60
20500,4.078,4.195,8.273,0.000,0.000,60
21000,4.088,4.082,8.170,0.000,0.000,60
21500,4.117,4.038,8.155,0.000,0.000,60
22000,4.117,4.097,8.214,0.000,0.000,60
22500,4.078,4.166,8.244,0.000,0.000,60
23000,4.107,4.048,8.155,0.000,0.000,60
23500,4.068,4.191,8.259,0.000,0.000,60
24000,4.078,4.136,8.214,0.000,0.000,60
24500,4.058,4.186,8.244,0.000,0.000,60
25000,4.049,4.122,8.170,0.000,0.000,0
25500,4.147,4.171,8.318,0.000,0.000,0
26000,4.147,4.186,8.332,0.000,0.000,0
26500,4.156,4.176,8.332,0.000,0.000,0
27000,4.156,4.176,8.332,0.000,0.000,0
27500,4.156,4.176,8.332,0.000,0.000,0
28000,4.156,4.176,8.332,0.000,0.000,0
28500,4.156,4.191,8.347,0.000,0.000,0
29000,4.156,4.191,8.347,0.000,0.000,0
29500,4.156,4.191,8.347,0.000,0.000,0
30000,4.166,4.181,8.347,0.000,0.000,60
30500,4.137,4.107,8.244,0.000,0.000,60
31000,4.127,4.043,8.170,0.000,0.000,60
31500,4.068,4.176,8.244,0.000,0.000,60
32000,4.058,4.156,8.214,0.000,0.000,60
32500,4.107,4.063,8.170,0.000,0.000,60
33000,4.088,4.112,8.200,0.000,0.000,60
33500,4.058,4.186,8.244,0.000,0.000,60
34000,4.058,4.156,8.214,0.000,0.000,60
34500,4.117,4.038,8.155,0.000,0.000,60
35000,4.058,4.141,8.200,0.000,0.000,60
35500,4.049,4.181,8.229,0.000,0.000,60
